transaction_id,customer_id,Age,Quantity,price_per_unit,total_amount,calculated_total_amount
1,CUST001,34,3,50.0,150,150.0
2,CUST002,26,2,500.0,1000,1000.0
5,CUST005,30,2,50.0,100,100.0
7,CUST007,46,2,25.0,50,50.0
8,CUST008,30,4,25.0,100,100.0
9,CUST009,63,2,300.0,600,600.0
10,CUST010,52,4,50.0,200,200.0
12,CUST012,35,3,25.0,75,75.0
14,CUST014,64,4,30.0,120,120.0
15,CUST015,42,4,500.0,2000,2000.0
17,CUST017,27,4,25.0,100,100.0
18,CUST018,47,2,25.0,50,50.0
19,CUST019,62,2,25.0,50,50.0
23,CUST023,35,4,30.0,120,120.0
26,CUST026,28,2,500.0,1000,1000.0
27,CUST027,38,2,25.0,50,50.0
30,CUST030,39,3,300.0,900,900.0
31,CUST031,44,4,300.0,1200,1200.0
32,CUST032,30,3,30.0,90,90.0
33,CUST033,50,2,50.0,100,100.0
34,CUST034,51,3,50.0,150,150.0
35,CUST035,58,3,300.0,900,900.0
36,CUST036,52,3,300.0,900,900.0
38,CUST038,38,4,50.0,200,200.0
41,CUST041,34,2,25.0,50,50.0
47,CUST047,40,3,500.0,1500,1500.0
48,CUST048,54,3,300.0,900,900.0
49,CUST049,54,2,500.0,1000,1000.0
50,CUST050,27,3,25.0,75,75.0
51,CUST051,27,3,25.0,75,75.0
53,CUST053,34,2,50.0,100,100.0
54,CUST054,38,3,500.0,1500,1500.0
55,CUST055,31,4,30.0,120,120.0
56,CUST056,26,3,300.0,900,900.0
60,CUST060,30,3,50.0,150,150.0
63,CUST063,57,2,25.0,50,50.0
64,CUST064,49,4,25.0,100,100.0
65,CUST065,51,4,500.0,2000,2000.0
67,CUST067,48,4,300.0,1200,1200.0
69,CUST069,56,3,25.0,75,75.0
71,CUST071,51,4,25.0,100,100.0
73,CUST073,29,3,30.0,90,90.0
75,CUST075,61,4,50.0,200,200.0
77,CUST077,47,2,50.0,100,100.0
78,CUST078,47,3,500.0,1500,1500.0
80,CUST080,64,2,30.0,60,60.0
82,CUST082,32,4,50.0,200,200.0
83,CUST083,54,2,50.0,100,100.0
84,CUST084,38,3,30.0,90,90.0
85,CUST085,31,3,50.0,150,150.0
87,CUST087,28,2,50.0,100,100.0
89,CUST089,55,4,500.0,2000,2000.0
92,CUST092,51,4,30.0,120,120.0
93,CUST093,35,4,500.0,2000,2000.0
94,CUST094,47,2,500.0,1000,1000.0
95,CUST095,32,2,30.0,60,60.0
96,CUST096,44,2,300.0,600,600.0
97,CUST097,51,2,500.0,1000,1000.0
98,CUST098,55,2,50.0,100,100.0
99,CUST099,50,4,300.0,1200,1200.0
101,CUST101,32,2,300.0,600,600.0
102,CUST102,47,2,25.0,50,50.0
104,CUST104,34,2,500.0,1000,1000.0
108,CUST108,27,3,25.0,75,75.0
109,CUST109,34,4,500.0,2000,2000.0
110,CUST110,27,3,300.0,900,900.0
111,CUST111,34,3,500.0,1500,1500.0
112,CUST112,37,3,500.0,1500,1500.0
113,CUST113,41,2,25.0,50,50.0
115,CUST115,51,3,500.0,1500,1500.0
118,CUST118,30,4,500.0,2000,2000.0
119,CUST119,60,3,50.0,150,150.0
121,CUST121,28,4,50.0,200,200.0
122,CUST122,64,4,30.0,120,120.0
123,CUST123,40,2,30.0,60,60.0
124,CUST124,33,4,500.0,2000,2000.0
125,CUST125,48,2,50.0,100,100.0
126,CUST126,28,3,30.0,90,90.0
127,CUST127,33,2,25.0,50,50.0
132,CUST132,42,4,50.0,200,200.0
136,CUST136,44,2,300.0,600,600.0
137,CUST137,46,2,500.0,1000,1000.0
138,CUST138,49,4,50.0,200,200.0
139,CUST139,36,4,500.0,2000,2000.0
142,CUST142,35,4,300.0,1200,1200.0
144,CUST144,59,3,500.0,1500,1500.0
145,CUST145,39,3,25.0,75,75.0
146,CUST146,38,4,50.0,200,200.0
150,CUST150,58,4,30.0,120,120.0
152,CUST152,43,4,500.0,2000,2000.0
153,CUST153,63,2,500.0,1000,1000.0
154,CUST154,51,3,300.0,900,900.0
155,CUST155,31,4,500.0,2000,2000.0
156,CUST156,43,4,25.0,100,100.0
157,CUST157,62,4,500.0,2000,2000.0
158,CUST158,44,2,300.0,600,600.0
159,CUST159,26,4,50.0,200,200.0
160,CUST160,43,2,50.0,100,100.0
161,CUST161,64,2,500.0,1000,1000.0
162,CUST162,39,2,30.0,60,60.0
163,CUST163,64,3,50.0,150,150.0
164,CUST164,47,3,500.0,1500,1500.0
165,CUST165,60,4,300.0,1200,1200.0
166,CUST166,34,4,500.0,2000,2000.0
167,CUST167,43,3,50.0,150,150.0
170,CUST170,25,2,25.0,50,50.0
171,CUST171,52,3,300.0,900,900.0
172,CUST172,32,2,25.0,50,50.0
173,CUST173,64,4,30.0,120,120.0
175,CUST175,31,4,25.0,100,100.0
176,CUST176,43,2,50.0,100,100.0
177,CUST177,45,2,50.0,100,100.0
178,CUST178,40,2,30.0,60,60.0
180,CUST180,41,3,300.0,900,900.0
182,CUST182,62,4,30.0,120,120.0
183,CUST183,43,3,300.0,900,900.0
184,CUST184,31,4,50.0,200,200.0
187,CUST187,64,2,50.0,100,100.0
188,CUST188,40,3,25.0,75,75.0
190,CUST190,60,3,30.0,90,90.0
192,CUST192,62,2,50.0,100,100.0
193,CUST193,35,3,500.0,1500,1500.0
194,CUST194,55,4,50.0,200,200.0
196,CUST196,32,3,300.0,900,900.0
197,CUST197,42,4,50.0,200,200.0
198,CUST198,54,3,300.0,900,900.0
199,CUST199,45,3,500.0,1500,1500.0
200,CUST200,27,3,50.0,150,150.0
202,CUST202,34,4,300.0,1200,1200.0
203,CUST203,56,2,500.0,1000,1000.0
207,CUST207,42,2,25.0,50,50.0
208,CUST208,34,4,50.0,200,200.0
209,CUST209,30,4,50.0,200,200.0
210,CUST210,37,4,50.0,200,200.0
211,CUST211,42,3,500.0,1500,1500.0
213,CUST213,27,3,500.0,1500,1500.0
215,CUST215,58,3,500.0,1500,1500.0
216,CUST216,62,2,50.0,100,100.0
217,CUST217,35,4,50.0,200,200.0
218,CUST218,64,3,30.0,90,90.0
219,CUST219,53,3,30.0,90,90.0
221,CUST221,39,2,300.0,600,600.0
222,CUST222,51,4,30.0,120,120.0
225,CUST225,57,4,25.0,100,100.0
227,CUST227,36,2,50.0,100,100.0
228,CUST228,59,2,30.0,60,60.0
229,CUST229,58,3,30.0,90,90.0
233,CUST233,51,2,300.0,600,600.0
234,CUST234,62,2,25.0,50,50.0
237,CUST237,50,2,500.0,1000,1000.0
239,CUST239,38,3,500.0,1500,1500.0
243,CUST243,47,3,300.0,900,900.0
244,CUST244,28,2,50.0,100,100.0
245,CUST245,47,3,30.0,90,90.0
246,CUST246,48,2,25.0,50,50.0
247,CUST247,41,2,30.0,60,60.0
248,CUST248,26,3,300.0,900,900.0
251,CUST251,57,4,50.0,200,200.0
253,CUST253,53,4,500.0,2000,2000.0
259,CUST259,45,4,50.0,200,200.0
260,CUST260,28,2,30.0,60,60.0
262,CUST262,32,4,30.0,120,120.0
264,CUST264,47,3,300.0,900,900.0
265,CUST265,55,3,300.0,900,900.0
267,CUST267,32,3,30.0,90,90.0
269,CUST269,25,4,500.0,2000,2000.0
271,CUST271,62,4,30.0,120,120.0
272,CUST272,61,2,50.0,100,100.0
275,CUST275,43,2,500.0,1000,1000.0
277,CUST277,36,4,25.0,100,100.0
278,CUST278,37,4,25.0,100,100.0
280,CUST280,37,3,500.0,1500,1500.0
281,CUST281,29,4,500.0,2000,2000.0
282,CUST282,64,4,50.0,200,200.0
284,CUST284,43,4,50.0,200,200.0
286,CUST286,55,2,25.0,50,50.0
287,CUST287,54,4,25.0,100,100.0
288,CUST288,28,4,30.0,120,120.0
289,CUST289,53,2,30.0,60,60.0
290,CUST290,30,2,300.0,600,600.0
291,CUST291,60,2,300.0,600,600.0
293,CUST293,50,3,30.0,90,90.0
295,CUST295,27,3,300.0,900,900.0
297,CUST297,40,2,500.0,1000,1000.0
298,CUST298,27,4,300.0,1200,1200.0
299,CUST299,61,2,500.0,1000,1000.0
301,CUST301,30,4,30.0,120,120.0
302,CUST302,57,2,300.0,600,600.0
304,CUST304,37,2,30.0,60,60.0
307,CUST307,26,2,25.0,50,50.0
308,CUST308,34,4,300.0,1200,1200.0
311,CUST311,32,4,25.0,100,100.0
312,CUST312,41,4,30.0,120,120.0
313,CUST313,55,3,500.0,1500,1500.0
314,CUST314,52,4,30.0,120,120.0
315,CUST315,47,2,30.0,60,60.0
316,CUST316,48,2,25.0,50,50.0
320,CUST320,28,4,300.0,1200,1200.0
321,CUST321,26,2,25.0,50,50.0
323,CUST323,29,3,300.0,900,900.0
324,CUST324,52,3,50.0,150,150.0
325,CUST325,52,2,25.0,50,50.0
327,CUST327,57,3,50.0,150,150.0
328,CUST328,39,2,50.0,100,100.0
329,CUST329,46,4,25.0,100,100.0
330,CUST330,25,4,50.0,200,200.0
331,CUST331,28,3,30.0,90,90.0
332,CUST332,58,4,300.0,1200,1200.0
333,CUST333,54,4,300.0,1200,1200.0
334,CUST334,31,3,300.0,900,900.0
335,CUST335,47,4,30.0,120,120.0
336,CUST336,52,3,50.0,150,150.0
338,CUST338,54,2,50.0,100,100.0
340,CUST340,36,4,300.0,1200,1200.0
341,CUST341,31,4,50.0,200,200.0
342,CUST342,43,4,500.0,2000,2000.0
346,CUST346,59,2,500.0,1000,1000.0
348,CUST348,35,2,300.0,600,600.0
350,CUST350,25,3,25.0,75,75.0
351,CUST351,56,3,30.0,90,90.0
352,CUST352,57,2,500.0,1000,1000.0
354,CUST354,49,4,50.0,200,200.0
356,CUST356,50,3,500.0,1500,1500.0
357,CUST357,40,3,25.0,75,75.0
360,CUST360,42,4,25.0,100,100.0
361,CUST361,34,4,300.0,1200,1200.0
366,CUST366,57,2,50.0,100,100.0
368,CUST368,56,4,300.0,1200,1200.0
373,CUST373,25,2,300.0,600,600.0
374,CUST374,59,3,25.0,75,75.0
377,CUST377,46,4,50.0,200,200.0
380,CUST380,56,2,300.0,600,600.0
381,CUST381,44,4,25.0,100,100.0
382,CUST382,53,2,500.0,1000,1000.0
383,CUST383,46,3,30.0,90,90.0
385,CUST385,50,3,500.0,1500,1500.0
386,CUST386,54,2,300.0,600,600.0
390,CUST390,39,2,50.0,100,100.0
392,CUST392,27,2,300.0,600,600.0
395,CUST395,50,2,500.0,1000,1000.0
398,CUST398,48,2,300.0,600,600.0
399,CUST399,64,2,30.0,60,60.0
400,CUST400,53,4,50.0,200,200.0
402,CUST402,41,2,300.0,600,600.0
403,CUST403,32,2,300.0,600,600.0
404,CUST404,46,2,500.0,1000,1000.0
405,CUST405,25,4,300.0,1200,1200.0
407,CUST407,46,3,300.0,900,900.0
410,CUST410,29,2,50.0,100,100.0
411,CUST411,62,4,50.0,200,200.0
413,CUST413,44,3,25.0,75,75.0
414,CUST414,48,4,25.0,100,100.0
415,CUST415,53,2,30.0,60,60.0
416,CUST416,53,4,500.0,2000,2000.0
417,CUST417,43,3,300.0,900,900.0
418,CUST418,60,2,500.0,1000,1000.0
419,CUST419,44,3,30.0,90,90.0
421,CUST421,37,3,500.0,1500,1500.0
422,CUST422,28,3,30.0,90,90.0
424,CUST424,57,4,300.0,1200,1200.0
425,CUST425,55,4,30.0,120,120.0
428,CUST428,40,4,50.0,200,200.0
429,CUST429,64,2,25.0,50,50.0
430,CUST430,43,3,300.0,900,900.0
431,CUST431,63,4,300.0,1200,1200.0
432,CUST432,60,2,500.0,1000,1000.0
433,CUST433,29,4,50.0,200,200.0
434,CUST434,43,2,25.0,50,50.0
435,CUST435,30,3,300.0,900,900.0
436,CUST436,57,4,30.0,120,120.0
437,CUST437,35,4,300.0,1200,1200.0
439,CUST439,50,3,25.0,75,75.0
440,CUST440,64,2,300.0,600,600.0
441,CUST441,57,4,300.0,1200,1200.0
442,CUST442,60,4,25.0,100,100.0
443,CUST443,29,2,300.0,600,600.0
444,CUST444,61,3,30.0,90,90.0
448,CUST448,54,2,30.0,60,60.0
449,CUST449,25,4,50.0,200,200.0
450,CUST450,59,2,25.0,50,50.0
452,CUST452,48,3,500.0,1500,1500.0
453,CUST453,26,2,500.0,1000,1000.0
455,CUST455,31,4,25.0,100,100.0
456,CUST456,57,2,30.0,60,60.0
457,CUST457,58,3,300.0,900,900.0
458,CUST458,39,4,25.0,100,100.0
459,CUST459,28,4,300.0,1200,1200.0
462,CUST462,63,4,300.0,1200,1200.0
463,CUST463,54,3,500.0,1500,1500.0
464,CUST464,38,2,300.0,600,600.0
465,CUST465,43,3,50.0,150,150.0
466,CUST466,63,4,25.0,100,100.0
467,CUST467,53,3,50.0,150,150.0
470,CUST470,57,2,500.0,1000,1000.0
471,CUST471,32,3,50.0,150,150.0
472,CUST472,38,3,300.0,900,900.0
474,CUST474,26,3,500.0,1500,1500.0
475,CUST475,26,3,25.0,75,75.0
476,CUST476,27,4,500.0,2000,2000.0
477,CUST477,43,4,30.0,120,120.0
478,CUST478,58,2,30.0,60,60.0
479,CUST479,52,4,300.0,1200,1200.0
