item_id,order_id,product_id,quantity,unit_price,discount_percent
1,O000001,P0090,3,963.41,38.85
2,O000001,P0189,3,742.61,43.17
3,O000002,P0211,2,713.58,54.15
4,O000002,P0065,2,841.73,35.29
5,O000002,P0214,4,465.98,45.23
6,O000003,P0167,4,668.72,13.31
7,O000003,P0112,5,715.46,56.84
8,O000003,P0238,5,552.72,76.4
9,O000003,P0158,4,221.38,14.13
10,O000004,P0154,5,905.63,95.57
11,O000005,P0173,1,556.18,15.67
12,O000005,P0222,4,188.51,44.3
13,O000005,P0342,2,180.62,98.36
14,O000005,P0329,5,407.86,78.19
15,O000006,P0240,2,253.24,73.85
16,O000006,P0478,4,765.76,53.06
17,O000007,P0044,1,31.25,92.02
18,O000008,P0161,3,932.25,35.67
19,O000009,P0034,2,369.31,90.92
20,O000009,P0229,5,480.34,70.36
21,O000010,P0288,3,168.21,88.06
22,O000010,P0273,2,911.13,40.97
23,O000010,P0241,5,702.86,28.12
24,O000011,P0076,1,910.09,9.71
25,O000011,P0196,1,478.08,47.69
26,O000012,P0419,5,368.76,44.09
27,O000013,P0497,4,496.85,67.18
28,O000013,P0044,3,887.63,6.89
29,O000014,P0202,5,917.6,11.1
30,O000014,P0165,2,299.43,79.28
31,O000015,P0410,3,499.8,62.19
32,O000016,P0130,2,200.1,28.02
33,O000016,P0013,5,494.71,90.58
34,O000016,P0359,1,313.57,44.89
35,O000016,P0140,4,752.5,75.98
36,O000017,P0017,1,139.34,97.82
37,O000017,P0294,-5,29.02,38.07
38,O000017,P0019,4,698.34,27.03
39,O000017,P0412,4,517.46,99.37
40,O000018,P0068,4,943.48,71.91
41,O000018,P0145,5,274.01,91.34
42,O000018,P0468,1,325.43,50.88
43,O000018,P0066,-1,808.16,10.7
44,O000019,P0079,2,576.19,23.69
45,O000020,P0007,-1,739.14,34.11
46,O000021,P0495,2,872.64,46.08
47,O000022,P0029,1,707.11,19.95
48,O000022,P0368,1,951.88,0.38
49,O000022,P0368,2,88.62,32.04
50,O000023,P0363,4,988.05,60.55
51,O000023,P0375,2,679.4,86.5
52,O000024,P0004,4,88.76,97.42
53,O000025,P0295,2,973.0,70.0
54,O000025,P0435,1,328.19,99.2
55,O000025,P0429,2,596.39,60.16
56,O000026,P0423,2,351.31,24.08
57,O000026,P0496,1,686.7,28.14
58,O000026,P0033,2,498.98,90.27
59,O000027,P0221,5,89.15,76.44
60,O000028,P0346,1,97.35,58.81
61,O000028,P0311,3,681.41,6.59
62,O000028,P0164,3,456.28,74.22
63,O000028,P0154,4,765.78,31.35
64,O000029,P0022,2,693.96,40.97
65,O000029,P0408,4,848.02,97.23
66,O000030,P0073,4,740.48,38.56
67,O000030,P0404,1,323.56,98.98
68,O000030,P0008,2,440.04,81.74
69,O000030,P0485,2,192.07,9.48
70,O000031,P0173,4,205.78,49.73
71,O000031,P0490,2,855.28,27.77
72,O000031,P0371,2,504.15,43.51
73,O000031,P0341,2,69.16,96.14
74,O000032,P0312,3,296.43,23.52
75,O000033,P0007,2,957.29,63.15
76,O000033,P0351,3,622.3,61.16
77,O000033,P0145,5,347.69,37.34
78,O000033,P0497,2,478.79,1.77
79,O000034,P0484,4,332.94,23.34
80,O000034,P0462,3,972.8,78.68
81,O000034,P0407,5,337.75,19.44
82,O000035,P0294,3,971.42,22.89
83,O000035,P0417,5,821.46,48.86
84,O000036,P0451,1,104.63,75.02
85,O000036,P0271,5,496.03,60.26
86,O000036,P0200,3,779.66,79.13
87,O000036,P0187,3,849.3,5.9
88,O000037,P0168,2,362.61,62.07
89,O000037,P0140,5,957.1,48.47
90,O000038,P0103,5,825.9,64.58
91,O000038,P0152,5,736.09,73.55
92,O000038,P0259,2,289.63,79.07
93,O000039,P0105,1,152.62,2.53
94,O000039,P0239,4,778.04,99.3
95,O000039,P0285,4,165.41,44.41
96,O000039,P0141,3,461.38,19.78
97,O000040,P0066,3,329.58,1.7
98,O000040,P0283,1,482.33,14.18
99,O000040,P0322,4,439.92,32.39
100,O000040,P0429,2,762.93,64.36
101,O000041,P0021,5,884.43,5.59
102,O000041,P0475,2,77.22,15.16
103,O000041,P0366,5,242.66,75.47
104,O000042,P0176,3,753.34,49.25
105,O000042,P0214,5,645.4,39.6
106,O000042,P0046,2,816.22,44.85
107,O000043,P0029,3,648.31,55.77
108,O000044,P0022,2,226.81,23.27
109,O000045,P0166,2,393.65,63.43
110,O000045,P0392,-4,296.74,2.35
111,O000046,P0103,5,593.77,20.88
112,O000046,P0179,5,704.81,58.16
113,O000046,P0425,3,172.54,21.28
114,O000046,P0322,-5,746.81,28.14
115,O000047,P0428,5,209.57,60.76
116,O000047,P0460,3,267.74,11.92
117,O000047,P0229,3,607.33,65.14
118,O000048,P0022,2,393.58,10.67
119,O000048,P0292,2,738.35,29.86
120,O000048,P0419,2,310.34,46.38
121,O000048,P0453,2,845.13,21.68
122,O000049,P0425,-3,189.11,33.39
123,O000050,P0235,4,984.39,60.18
124,O000050,P0246,2,565.22,28.53
125,O000050,P0055,2,885.57,85.27
126,O000050,P0006,5,947.32,93.02
127,O000051,P0291,4,961.6,9.72
128,O000051,P0098,3,971.23,74.18
129,O000051,P0214,3,657.09,29.75
130,O000052,P0135,1,462.36,93.22
131,O000053,P0382,1,952.9,79.28
132,O000053,P0058,4,95.23,23.48
133,O000054,P0289,-3,484.93,73.14
134,O000054,P0204,2,681.24,2.99
135,O000054,P0239,4,418.3,97.29
136,O000055,P0449,1,288.01,28.16
137,O000056,P0013,2,674.53,96.32
138,O000056,P0230,2,812.25,99.58
139,O000056,P0428,1,858.43,55.89
140,O000056,P0367,4,849.97,4.73
141,O000057,P0234,1,822.51,54.46
142,O000057,P0191,3,728.94,54.08
143,O000057,P0178,3,412.93,58.02
144,O000058,P0393,4,299.53,81.42
145,O000058,P0209,4,366.73,43.17
146,O000058,P0071,5,339.48,35.87
147,O000059,P0442,4,683.53,88.97
148,O000059,P0441,3,982.89,14.51
149,O000059,P0426,3,747.35,85.11
150,O000059,P0418,5,794.36,82.47
151,O000060,P0451,1,120.76,50.14
152,O000060,P0295,1,14.0,93.45
153,O000060,P0351,2,712.66,33.49
154,O000060,P0429,1,798.94,54.85
155,O000061,P0202,5,226.88,35.11
156,O000061,P0055,4,233.56,64.39
157,O000061,P0459,2,755.79,71.62
158,O000061,P0254,5,152.91,7.22
159,O000062,P0156,2,826.98,54.2
160,O000062,P0098,1,33.27,3.11
161,O000062,P0424,1,778.31,7.13
162,O000063,P0217,4,945.43,66.16
163,O000063,P0154,1,349.74,37.49
164,O000063,P0302,3,920.36,63.52
165,O000064,P0256,4,326.44,3.1
166,O000065,P0395,4,107.03,68.86
167,O000065,P0486,5,971.65,49.03
168,O000065,P0493,1,492.57,90.59
169,O000065,P0048,4,92.14,72.43
170,O000066,P0173,4,248.96,98.4
171,O000067,P0398,3,707.0,45.12
172,O000068,P0066,-1,597.49,67.52
173,O000068,P0228,1,78.41,18.12
174,O000068,P0199,3,803.29,53.57
175,O000068,P0061,1,701.23,49.11
176,O000069,P0021,3,297.38,33.14
177,O000069,P0496,1,839.0,19.91
178,O000069,P0199,4,777.98,80.68
179,O000069,P0023,2,309.25,22.34
180,O000070,P0414,2,703.77,91.17
181,O000070,P0068,1,742.95,94.67
182,O000070,P0255,-5,373.01,69.89
183,O000070,P0460,1,696.87,63.48
184,O000071,P0143,4,441.93,70.2
185,O000072,P0450,1,949.18,35.76
186,O000073,P0465,5,928.59,13.75
187,O000073,P0293,1,194.92,19.65
188,O000073,P0135,5,483.1,97.09
189,O000073,P0060,2,564.07,23.22
190,O000074,P0360,3,396.8,37.19
191,O000074,P0058,5,529.32,26.59
192,O000075,P0071,3,326.33,24.37
193,O000076,P0244,2,483.49,21.41
194,O000076,P0325,2,630.76,85.87
195,O000076,P0066,1,859.27,14.54
196,O000076,P0038,1,570.5,24.71
197,O000077,P0424,3,269.84,5.97
198,O000077,P0165,4,782.83,2.77
199,O000077,P0311,3,838.01,22.47
200,O000077,P0487,2,792.56,88.87
201,O000078,P0148,2,502.16,7.51
202,O000078,P0034,5,566.07,70.45
203,O000079,P0202,1,288.03,65.02
204,O000079,P0275,3,609.24,91.93
205,O000080,P0388,5,872.45,68.85
206,O000080,P0310,5,603.35,78.58
207,O000080,P0047,2,694.51,97.52
208,O000080,P0324,5,72.31,62.91
209,O000081,P0117,3,319.92,90.58
210,O000081,P0179,2,972.62,19.18
211,O000081,P0211,3,285.74,59.78
212,O000082,P0072,5,804.22,68.83
213,O000082,P0186,2,715.49,55.29
214,O000083,P0089,4,126.04,72.27
215,O000083,P0106,3,602.15,63.34
216,O000084,P0415,2,501.99,24.56
217,O000084,P0478,4,572.51,53.74
218,O000084,P0037,2,260.01,96.65
219,O000085,P0416,1,934.78,92.78
220,O000085,P0282,4,587.75,27.71
221,O000085,P0137,5,60.48,42.77
222,O000085,P0244,4,442.8,31.31
223,O000086,P0390,2,803.29,5.45
224,O000086,P0281,1,539.87,12.74
225,O000087,P0457,4,663.69,5.99
226,O000088,P0369,3,284.4,42.98
227,O000089,P0293,2,754.21,92.79
228,O000089,P0078,3,32.72,58.41
229,O000090,P0423,2,389.44,54.17
230,O000090,P0047,1,575.53,61.41
231,O000091,P0127,4,846.93,22.1
232,O000091,P0457,4,181.81,22.03
233,O000091,P0344,-1,315.41,57.96
234,O000092,P0052,4,848.81,40.85
235,O000092,P0379,4,889.24,85.06
236,O000092,P0392,-4,279.01,88.18
237,O000092,P0449,4,528.7,32.21
238,O000093,P0430,5,447.77,20.55
239,O000093,P0308,2,838.57,68.33
240,O000093,P0107,2,225.75,35.33
241,O000093,P0149,3,899.47,37.94
242,O000094,P0289,1,251.63,69.76
243,O000094,P0012,4,394.98,34.52
244,O000094,P0224,-4,726.94,90.92
245,O000094,P0179,1,236.27,36.66
246,O000095,P0113,4,855.11,64.5
247,O000095,P0101,5,847.44,97.92
248,O000095,P0118,3,99.07,91.58
249,O000096,P0026,5,257.89,52.53
250,O000097,P0073,4,859.92,27.85
251,O000097,P0160,2,174.96,6.68
252,O000097,P0294,1,658.08,78.43
253,O000098,P0483,3,429.03,16.79
254,O000098,P0101,1,606.61,7.7
255,O000099,P0092,3,538.61,77.91
256,O000100,P0478,2,194.94,78.69
257,O000100,P0393,3,279.61,81.33
258,O000100,P0030,5,399.87,16.7
259,O000101,P0124,2,863.07,83.43
260,O000101,P0237,5,253.33,17.51
261,O000101,P0083,1,643.73,75.45
262,O000101,P0070,1,10.57,46.08
263,O000102,P0372,4,409.86,52.51
264,O000102,P0311,5,581.7,83.76
265,O000102,P0269,4,937.5,16.69
266,O000102,P0019,4,214.82,59.98
267,O000103,P0463,3,418.29,37.59
268,O000103,P0250,-3,206.72,1.6
269,O000103,P0385,4,155.7,86.52
270,O000104,P0073,3,26.21,22.71
271,O000104,P0205,4,471.69,46.52
272,O000105,P0492,4,60.83,94.77
273,O000105,P0028,1,357.05,90.94
274,O000106,P0182,1,822.88,55.16
275,O000106,P0445,1,848.7,6.78
276,O000106,P0473,3,511.65,1.11
277,O000106,P0365,1,565.97,5.99
278,O000107,P0230,5,409.38,79.85
279,O000107,P0168,4,292.08,5.09
280,O000108,P0222,4,766.0,3.62
281,O000109,P0194,2,336.85,71.43
282,O000110,P0469,2,204.37,61.69
283,O000110,P0022,3,53.57,1.21
284,O000110,P0292,2,201.73,79.95
285,O000111,P0131,4,990.52,21.06
286,O000111,P0020,1,272.85,48.27
287,O000112,P0085,2,925.57,49.35
288,O000113,P0176,4,620.63,97.95
289,O000114,P0281,3,890.28,81.44
290,O000114,P0168,3,531.44,66.78
291,O000114,P0143,5,808.13,77.83
292,O000114,P0012,2,439.53,27.22
293,O000115,P0208,4,60.77,59.17
294,O000115,P0076,3,559.46,84.45
295,O000115,P0128,2,469.7,15.33
296,O000116,P0212,5,745.1,41.93
297,O000117,P0084,3,626.83,94.85
