order_id,customer_id,order_date,status,region_code
O000001,C00657,2026-04-05 15:24:58,SHIPPED,East
O000002,C00899,2025-05-25 21:20:43,DELIVERED,West
O000003,C00565,2026-05-05 20:26:50,PLACED,East
O000004,C00880,2024-09-25 17:01:58,SHIPPED,East
O000005,C00752,2025-10-15 20:19:11,PLACED,North
O000006,C00870,2024-09-04 05:51:28,RETURNED,West
O000007,C00788,2024-09-08 13:14:45,RETURNED,East
O000008,C00557,2024-10-07 00:31:42,SHIPPED,East
O000009,C00402,2024-08-23 21:17:20,DELIVERED,South
O000010,C00476,2024-07-29 14:46:20,DELIVERED,North
O000011,C00679,2024-12-26 10:43:24,RETURNED,South
O000012,C00776,2025-06-27 08:51:55,SHIPPED,South
O000013,C00754,2026-01-14 11:58:50,PLACED,South
O000014,C00780,2024-07-14 21:20:08,DELIVERED,South
O000015,C00044,2025-01-18 07:28:14,DELIVERED,West
O000016,C00481,2026-06-05 17:01:10,PLACED,East
O000017,C00106,2025-11-05 22:46:53,DELIVERED,East
O000018,C00593,2026-02-04 10:40:19,CANCELLED,East
O000019,C00602,2024-08-07 12:31:43,RETURNED,East
O000020,C00386,2024-12-09 03:01:11,CANCELLED,East
O000021,C00837,2026-02-06 07:53:32,CANCELLED,North
O000022,C00514,2025-04-08 08:39:48,SHIPPED,North
O000023,C00527,2025-07-22 20:21:38,SHIPPED,South
O000024,C00371,2026-06-10 17:00:28,SHIPPED,West
O000025,C00831,2025-01-18 03:10:35,CANCELLED,West
O000026,C00216,2025-06-27 21:41:41,CANCELLED,North
O000027,,2026-01-11 20:28:56,SHIPPED,South
O000028,C00645,2025-09-22 10:13:21,SHIPPED,North
O000029,C00171,2025-03-10 18:54:26,CANCELLED,North
O000030,C00900,2025-11-18 00:42:46,DELIVERED,North
O000031,C00222,2025-03-15 13:20:24,CANCELLED,South
O000032,C00225,2025-02-23 05:01:23,RETURNED,South
O000033,C00639,2024-12-29 23:10:15,DELIVERED,West
O000034,C00611,2025-03-28 19:14:31,CANCELLED,South
O000035,,2025-04-25 00:28:45,RETURNED,West
O000036,C00847,2025-09-27 03:04:55,CANCELLED,North
O000037,C00899,2026-06-20 09:15:03,PLACED,North
O000038,C00494,2026-04-06 17:02:43,RETURNED,North
O000039,C00919,2026-02-16 21:48:47,CANCELLED,West
O000040,C00380,2024-07-10 04:44:58,CANCELLED,South
O000041,C00961,2026-04-04 20:35:12,CANCELLED,East
O000042,C00604,2025-04-27 10:58:55,RETURNED,North
O000043,C00436,2026-03-10 04:52:24,SHIPPED,North
O000044,C00291,2026-05-14 15:58:39,DELIVERED,South
