product_id,product_name,category,subcategory,cost_price
P0001,Already Kids,Clothing,Kids,209.71
P0002,Walk Kitchen,Home,Kitchen,297.88
P0003,Republican Kids,Clothing,Kids,280.15
P0004,No Laptop,Electronics,Laptop,337.31
P0005,Direction Decor,Home,Decor,78.86
P0006,Letter Fiction,Books,Fiction,239.39
P0007,Same Women,Clothing,Women,76.45
P0008,Anyone Fiction,Books,Fiction,484.05
P0009,Think Women,Clothing,Women,105.65
P0010,Prove Laptop,Electronics,Laptop,50.77
P0011,Talk Men,Clothing,Men,338.47
P0012,Necessary Mobile,Electronics,Mobile,382.04
P0013,Put Women,Clothing,Women,453.98
P0014,Recognize Kitchen,Home,Kitchen,99.06
P0015,Sense Accessories,Electronics,Accessories,242.07
P0016,Receive Kids,Clothing,Kids,106.23
P0017,Watch Kids,Clothing,Kids,145.11
P0018,Board Comics,Books,Comics,157.67
P0019,In Decor,Home,Decor,235.67
P0020,Road Education,Books,Education,188.5
P0021,Foot Fiction,Books,Fiction,114.53
P0022,Life Men,Clothing,Men,467.71
P0023,Area Education,Books,Education,168.28
P0024,Piece Comics,Books,Comics,252.15
P0025,Above Furniture,Home,Furniture,246.87
P0026,Anything Education,Books,Education,398.51
P0027,Sport Men,Clothing,Men,246.72
P0028,Huge Accessories,Electronics,Accessories,424.12
P0029,Speak Mobile,Electronics,Mobile,422.06
P0030,Defense Men,Clothing,Men,9.53
P0031,Woman Education,Books,Education,320.68
P0032,Enjoy Comics,Books,Comics,8.27
P0033,  house fiction  ,Books,Fiction,362.49
P0034,When Kitchen,Home,Kitchen,350.44
P0035,Edge Fiction,Books,Fiction,52.68
P0036,Decision Men,Clothing,Men,265.6
P0037,Benefit Furniture,Home,Furniture,44.11
P0038,Admit Education,Books,Education,495.17
P0039,Know Women,Clothing,Women,424.69
P0040,Ahead Mobile,Electronics,Mobile,191.7
P0041,Address Fiction,Books,Fiction,352.91
P0042,Green Laptop,Electronics,Laptop,324.23
P0043,Tend Decor,Home,Decor,487.05
P0044,Dark Mobile,Electronics,Mobile,434.72
P0045,Response Education,Books,Education,41.8
P0046,Relationship Decor,Home,Decor,21.29
P0047,At Kitchen,Home,Kitchen,295.58
P0048,Discussion Fiction,Books,Fiction,284.16
P0049,Us Comics,Books,Comics,169.21
P0050,Big Kids,Clothing,Kids,252.89
P0051,Subject Kitchen,Home,Kitchen,119.91
P0052,Thing Laptop,Electronics,Laptop,308.86
P0053,  then education  ,Books,Education,140.3
P0054,Red Education,Books,Education,278.75
P0055,Computer Education,Books,Education,295.01
P0056,Shake Fiction,Books,Fiction,151.21
P0057,Computer Kids,Clothing,Kids,137.65
P0058,Another Comics,Books,Comics,81.37
P0059,Just Education,Books,Education,50.3
P0060,Music Furniture,Home,Furniture,138.53
P0061,Box Men,Clothing,Men,227.18
P0062,  team fiction  ,Books,Fiction,180.19
P0063,General Accessories,Electronics,Accessories,165.59
P0064,Future Fiction,Books,Fiction,196.96
P0065,Or Accessories,Electronics,Accessories,453.08
P0066,Produce Kids,Clothing,Kids,344.23
P0067,Customer Men,Clothing,Men,137.86
P0068,Probably Men,Clothing,Men,141.6
P0069,Despite Furniture,Home,Furniture,183.76
P0070,World Kids,Clothing,Kids,298.93
P0071,Number Women,Clothing,Women,155.81
